Name,Last name,Date of Birth,Race,Phone Number,Email
Freddy,Renner,02/22/1967,hispanic,378-859-8348,freddy56@gmail.com
Alba,White,12/19/1956,black,(199) 973-7676,alba38@hotmail.com
Owen,Botsford,05/10/1986,black,691-597-9403,owen83@hotmail.com
Lora,Beer,03/15/1994,hispanic,348.539.9840,lora81@gmail.com
Vernon,Hagenes,05/12/2000,other,192.239.5229,vernon64@hotmail.com
Neville,Pagac,09/06/1969,asian,(180) 452-6662,neville82@yahoo.com
Alyce,Stoltenberg,10/26/1982,asian,210-313-5759,alyce18@yahoo.com
Kalyn,Hammes,10/10/1990,white,869-797-8932,kalyn69@yahoo.com
Barney,Sauer,09/08/1980,black,040-112-0731,barney53@hotmail.com
Porter,Kris,10/20/1970,white,1-841-126-6650,porter62@gmail.com
Armida,Mills,09/17/1976,asian,790-740-2801,armida88@gmail.com
Larry,Goodwin,08/03/2001,other,1-258-359-2715,larry44@gmail.com
Britt,Zemlak,01/14/1978,other,322.767.1651,britt11@gmail.com
David,Nader,06/19/1977,hispanic,(315) 907-0854,david73@yahoo.com
James,Rosenbaum,05/28/1970,black,1-461-555-5129,james88@hotmail.com
January,Crona,04/15/1991,other,1-550-178-0967,january58@hotmail.com
Clare,Thiel,10/05/1998,asian,888.794.1995,clare20@gmail.com
Dell,West,12/18/1961,white,1-568-152-9291,dell00@gmail.com
Lasandra,Rohan,11/01/1960,asian,1-094-795-7317,lasandra35@gmail.com
Cleotilde,Luettgen,03/23/1992,hispanic,(797) 994-8738,cleotilde53@yahoo.com
Jaime,Lynch,02/15/1978,hispanic,248.155.6756,jaime88@gmail.com
Trudy,Harris,03/21/1958,black,309.215.6000,trudy53@gmail.com
Dovie,Stamm,03/30/1999,white,(222) 499-0969,dovie17@yahoo.com
Francesco,Hermiston,09/07/1992,hispanic,(492) 689-1208,francesco05@hotmail.com
Elisha,Durgan,06/24/1988,white,(351) 347-7940,elisha39@hotmail.com
Samual,Hagenes,06/03/1966,black,372.113.7956,samual65@yahoo.com
